users,event_type,country_code,no_categories,os,os_type,no_events,no_features
1,impbeacon,GE,1,NULL,NULL,8,0
4,impbeacon,GP,15,"{""type"":""win"",""ver"":1}",win,70,485
58,impbeacon,GP,58,"{""type"":""win"",""ver"":4}",win,5027,20031
22,impbeacon,GR,54,"{""type"":""win"",""ver"":5}",win,13179,56386
3,impbeacon,GY,4,"{""type"":""win"",""ver"":4}",win,43,179
7,impbeacon,HK,8,"{""type"":""win"",""ver"":5}",win,142,575
6,impbeacon,HN,13,"{""type"":""win"",""ver"":5}",win,245,1007
13,impbeacon,HR,31,"{""type"":""win"",""ver"":4}",win,2233,6762
2,impbeacon,HT,26,"{""type"":""win"",""ver"":5}",win,734,3455
4,impbeacon,HU,32,"{""type"":""win"",""ver"":1}",win,4353,18629
48,impbeacon,HU,67,"{""type"":""win"",""ver"":4}",win,24025,105967
29,impbeacon,ID,34,"{""type"":""win"",""ver"":5}",win,4126,17091
10,impbeacon,IE,42,"{""type"":""win"",""ver"":4}",win,3439,14805
1,impbeacon,IL,3,"{""type"":""win"",""ver"":3}",win,3,13
1,impbeacon,IM,3,"{""type"":""win"",""ver"":5}",win,17,83
